,Unnamed: 0,Cumulative_YoutubeSess_LTE_DL_Time,Cumulative_YoutubeSess_LTE_DL_Volume,Cumulative_YoutubeSess_UMTS_DL_Time,Cumulative_YoutubeSess_UMTS_DL_Volume,Max_RSRQ,Max_SNR,User_Satisfaction,Cumulative_Full_Service_Time_UMTS,Cumulative_Lim_Service_Time_UMTS,Cumulative_No_Service_Time_UMTS,Cumulative_Full_Service_Time_LTE,Cumulative_Lim_Service_Time_LTE,Cumulative_No_Service_Time_LTE
2407,2407,107.974,21139.0,91.936,10911.0,-3.0,27.6,0.0,97811,3093,1923,203374,4643,1161
16623,16626,273.50199999999995,327353.0,0.0,0.0,-3.0,-19.8,0.0,98914,1734,1840,5780,2606,7345
16498,16501,470.3460000000002,460946.0,52.751999999999995,34891.0,-8.0,21.0,1.0,84187,4808,1829,10480,3708,5919
7234,7235,507.578,397980.0,2.292,50.0,-3.0,-19.8,0.0,98695,2776,1348,181604,1235,7575
3762,3762,185.019,82206.0,0.0,0.0,-6.0,24.0,0.0,38857,7710,686,116471,3857,3536
10646,10648,56.37300000000001,49738.0,0.0,0.0,-7.0,18.4,1.0,3960,880,3851,216741,3188,1010
3389,3389,533.694,325568.0,0.0,0.0,-9.0,25.6,0.0,70484,4117,3105,293475,7,10170
2623,2623,540.3340000000002,485046.0,0.0,0.0,-4.0,-19.8,1.0,36532,3484,990,221097,357,723
21264,21267,3.418,35.0,0.0,0.0,-8.0,11.4,0.0,60973,4355,3925,139006,2225,3996
3180,3180,513.633,662165.0,0.0,0.0,-3.0,-19.8,0.0,94129,2800,2027,139176,3002,253
403,403,36.775,17928.0,0.0,0.0,-4.0,-19.8,0.0,148605,1785,1510,239073,3773,6681
3538,3538,1652.121,1006002.0,22.222,4551.0,-6.0,-19.9,0.0,54926,815,1104,104914,365,2514
254,254,11.883,10247.0,0.0,0.0,-3.0,-19.9,1.0,35978,9938,3248,178599,1981,8025
276,276,83.01100000000002,8507.0,0.0,0.0,-9.0,-20.0,1.0,69436,199,2829,200467,927,4125
5101,5102,6.471,947.0,0.0,0.0,-4.0,27.0,0.0,62331,8769,351,163944,2394,7300
15552,15555,69.217,28756.0,0.0,0.0,-4.0,24.4,0.0,125651,4177,1469,130618,4034,2159
20482,20485,12.976,161.0,0.0,0.0,-6.0,29.4,0.0,84671,8472,3710,144302,3484,6655
1595,1595,4.588,72.0,0.0,0.0,-5.0,29.4,1.0,44190,629,277,175707,2629,2919
19394,19397,3780.5510000000013,1991034.0,84.855,12204.0,-5.0,-19.9,0.0,86571,1428,2785,254921,2315,2904
4458,4459,18.376,449.0,0.0,0.0,-9.0,8.8,0.0,88128,4392,601,110382,1212,3050
