,Unnamed: 0,Cumulative_YoutubeSess_LTE_DL_Time,Cumulative_YoutubeSess_LTE_DL_Volume,Cumulative_YoutubeSess_UMTS_DL_Time,Cumulative_YoutubeSess_UMTS_DL_Volume,Max_RSRQ,Max_SNR,User_Satisfaction,Cumulative_Full_Service_Time_UMTS,Cumulative_Lim_Service_Time_UMTS,Cumulative_No_Service_Time_UMTS,Cumulative_Full_Service_Time_LTE,Cumulative_Lim_Service_Time_LTE,Cumulative_No_Service_Time_LTE
18556,18559,100.727,110854.0,0.0,0.0,-6.0,27.8,1.0,53917,5636,2043,213227,3996,2883
15582,15585,9.324,93.0,0.0,0.0,-3.0,-19.8,0.0,85021,1761,1223,87700,4287,1251
14320,14322,2715.406,2271118.0,580.9069999999998,63891.0,-3.0,-19.8,0.0,123462,4664,2715,203846,5776,8748
10475,10477,74.097,39065.0,0.0,0.0,-4.0,-19.8,0.0,85675,4903,1322,7924,1799,9491
14463,14465,168.955,41933.0,0.0,0.0,-3.0,-19.9,1.0,104902,2068,669,137121,3846,937
20366,20369,19.289,380.0,0.0,0.0,-3.0,-19.8,0.0,129610,8440,788,188039,237,5653
5462,5463,46.877,16547.0,5.7010000000000005,194.0,-4.0,-19.8,0.0,43783,2606,947,659,2134,280
7318,7319,18.23,1292.0,0.0,0.0,-3.0,-19.7,0.0,46634,247,3880,156413,991,2752
20383,20386,124.359,96498.0,0.0,0.0,-6.0,25.6,1.0,3916,4349,4532,160528,1249,1084
4887,4888,9.207,359.0,12.396,212.0,-4.0,25.2,0.0,77265,6563,2637,181318,4864,2637
20975,20978,2.071,13.0,0.0,0.0,-7.0,26.4,0.0,77365,1869,4073,121237,301,2594
15971,15974,186.863,36902.0,0.0,0.0,-5.0,26.0,0.0,98038,4188,1908,295984,2300,8800
12260,12262,2.188,16.0,0.0,0.0,-6.0,29.6,0.0,91508,4218,2108,182148,1772,2465
23435,23438,2164.606,681672.0,147.512,27800.0,-3.0,-19.8,1.0,43741,950,1452,92741,6940,8824
15152,15154,3.419,2713.0,0.0,0.0,-6.0,27.3,1.0,104376,3930,289,144549,2383,5007
22268,22271,3491.9590000000007,1634713.0,20.916,876.0,-7.0,29.8,1.0,8376,2145,3763,129349,4128,5532
19054,19057,2.166,155.0,0.0,0.0,-6.0,28.0,1.0,19362,6189,927,112570,4824,10414
17181,17184,23.138,512.0,33.566,8771.0,-6.0,29.4,1.0,82476,2617,2803,101303,3227,3892
18772,18775,3.576,51.0,0.0,0.0,-6.0,25.0,0.0,50307,2339,3557,86613,3105,2517
23054,23057,31.755,10928.0,0.0,0.0,-5.0,-19.8,1.0,47953,1340,490,193975,3751,4707
5302,5303,108.193,36178.0,25.434,4559.0,-4.0,27.0,1.0,136843,6774,1429,186922,5711,11736
3710,3710,215.124,71674.0,50.08,5772.0,-3.0,-19.8,0.0,51752,1294,4599,140999,3075,3817
8032,8033,0.0,0.0,6453.604,861540.0,-10.0,-20.0,0.0,89727,4225,53,197569,4552,2373
22893,22896,96.495,39827.0,0.0,0.0,-7.0,24.8,0.0,72994,3411,38,28189,25,7059
14272,14274,0.0,0.0,383.9320000000001,75687.0,-6.0,29.0,0.0,56201,4762,529,165690,3229,7900
5119,5120,31.194000000000006,30220.0,0.0,0.0,-4.0,-19.8,0.0,54856,3446,1286,13569,3168,10310
5861,5862,2.388,63.0,0.0,0.0,-7.0,22.4,0.0,63682,262,3463,161525,3369,12615
19717,19720,37.675,9917.0,0.0,0.0,-6.0,24.8,0.0,93523,4494,1267,225143,2040,6694
2033,2033,158.316,128657.0,0.0,0.0,-6.0,29.2,0.0,76483,1738,2350,252948,4326,6452
14051,14053,31.476,23866.0,0.0,0.0,-4.0,-19.8,0.0,73899,4880,1497,104845,6262,1637
19129,19132,118.92399999999999,24215.0,53.503,15525.0,-5.0,-19.9,0.0,2118,5748,4099,127928,1908,3437
19019,19022,486.13800000000015,659457.0,0.0,0.0,-3.0,29.0,1.0,12420,5151,609,293683,1021,4560
17218,17221,3820.6940000000013,1158998.0,2732.855000000001,406923.0,-6.0,27.4,0.0,73959,2081,2346,153335,3098,243
13697,13699,7.826,81.0,0.0,0.0,-3.0,27.0,1.0,40702,3498,1405,6913,1142,5242
920,920,5.334,82.0,45.826,11750.0,-7.0,18.8,0.0,84538,8735,2111,189282,1096,2771
12469,12471,1214.6950000000004,288116.0,417.511,31602.0,-9.0,19.0,0.0,83919,2232,850,185063,2305,1691
23476,23479,127.849,61337.0,375.8299999999999,27113.0,-7.0,18.0,1.0,75271,4458,2160,151803,675,4073
12543,12545,8.780999999999999,79.0,0.0,0.0,-6.0,25.2,0.0,37688,599,3497,113044,2051,1102
9001,9003,2.397,44.0,0.0,0.0,-4.0,24.0,1.0,1369,4412,2298,176244,2284,2103
16770,16773,8.142999999999999,743.0,0.0,0.0,-6.0,25.0,1.0,29576,5878,1928,294739,902,8000
10638,10640,279.488,81605.0,33.657,4036.0,-6.0,-19.9,0.0,121911,4986,3444,248441,1033,1021
4221,4222,4.242,29.0,0.0,0.0,-3.0,-19.8,1.0,40548,1586,1474,144680,2187,4479
10213,10215,1097.644,528916.0,72.288,30680.0,-7.0,20.6,0.0,124803,3802,1342,258887,4740,7009
19366,19369,172.46900000000005,97330.0,0.0,0.0,-6.0,28.0,0.0,58522,1624,1028,189189,44,1734
3470,3470,76.055,10044.0,7.762,188.0,-4.0,-19.8,1.0,31032,724,952,29908,3240,9908
11332,11334,0.0,0.0,2.479,51.0,-7.0,21.2,1.0,67665,4476,4513,237656,1700,993
16572,16575,2.55,13.0,0.0,0.0,-5.0,-19.9,0.0,75619,6592,3941,148476,4626,2124
9686,9688,480.28,262951.0,143.283,65924.0,-6.0,27.2,0.0,112075,3394,21,52947,430,7308
17543,17546,2113.163,1553733.0,23.452,4689.0,-3.0,-19.8,1.0,62058,4462,1489,73352,5474,8535
10358,10360,9.914,155.0,0.0,0.0,-6.0,-19.9,0.0,84871,2682,822,109497,4701,457
4746,4747,47.03,31608.0,0.0,0.0,-7.0,25.0,0.0,111785,4263,110,234300,724,3867
17329,17332,0.0,0.0,36.30499999999999,20066.0,-3.0,4.1,0.0,53923,315,309,64301,448,3631
7458,7459,5.872999999999998,197.0,0.0,0.0,-4.0,-19.8,1.0,70210,5201,636,193250,4257,9525
385,385,220.604,233555.0,29.63,2989.0,-3.0,-19.9,0.0,90711,7139,3467,298358,6781,2532
22142,22145,3.784,90.0,2.126,98.0,-7.0,-19.9,1.0,28671,1855,524,140990,3944,3589
1719,1719,96.442,48976.0,0.0,0.0,-6.0,27.0,0.0,73009,5084,2724,22979,2358,3314
12214,12216,4.506,157.0,0.0,0.0,-4.0,2.8,0.0,68355,1074,1987,181804,2590,1061
15083,15085,12.158,110.0,0.0,0.0,-4.0,28.0,0.0,4395,5568,3522,160048,1420,1896
3205,3205,828.36,426568.0,73.567,11709.0,-3.0,-19.9,1.0,77425,563,571,19836,2719,13249
878,878,34.3,15144.0,0.0,0.0,-4.0,-19.8,1.0,35730,4351,2640,159211,1473,2197
13782,13784,185.88299999999998,71279.0,0.0,0.0,-3.0,-19.9,0.0,118359,597,2061,171120,3523,3741
20558,20561,13.669,219.0,3.322,42.0,-6.0,28.8,1.0,73297,3841,2843,185284,290,9740
9349,9351,54.95399999999999,24835.0,0.0,0.0,-3.0,-19.9,0.0,32094,2653,714,177700,922,7533
16519,16522,20.132,4935.0,0.0,0.0,-3.0,-19.8,0.0,49061,1593,3407,263617,862,5134
7631,7632,11.076,1571.0,0.0,0.0,-5.0,29.6,1.0,9176,1849,900,139823,2106,2937
4601,4602,378.283,411635.0,0.0,0.0,-6.0,28.2,0.0,88926,2843,1859,155844,2325,4559
11298,11300,345.90199999999993,271582.0,0.0,0.0,-3.0,-19.7,0.0,67286,610,3498,153872,2217,10151
16100,16103,34.21,29509.0,4.55,437.0,-4.0,-19.8,1.0,35070,73,3497,16478,3732,298
1984,1984,3.874,44.0,2.573,35.0,-6.0,26.5,0.0,126438,4354,1776,112245,4941,601
2603,2603,27.651,5166.0,0.0,0.0,-4.0,-19.9,1.0,16132,5768,1247,161177,2698,2487
14751,14753,41.25,6200.0,17.304000000000002,3029.0,-5.0,29.0,1.0,68725,8037,591,127662,1203,6817
2314,2314,13.214,130.0,0.0,0.0,-6.0,29.8,0.0,88625,3733,1931,36515,511,4716
2258,2258,59.12600000000001,40757.0,0.0,0.0,-7.0,23.2,0.0,61976,212,1234,123048,1560,1401
2239,2239,8.071,5561.0,0.0,0.0,-5.0,-19.8,1.0,87443,2723,4767,69471,2582,13021
2487,2487,547.711,462026.0,0.0,0.0,-6.0,29.8,0.0,43828,4734,1014,24311,1729,2539
17506,17509,2918.8459999999995,3703985.0,1481.3329999999999,596102.0,-3.0,24.2,0.0,54460,2291,772,213938,285,4826
1902,1902,3.104,35.0,0.0,0.0,-7.0,27.2,0.0,85223,1712,687,179500,2257,3394
20944,20947,199.82299999999998,59268.0,2.479,16.0,-4.0,25.0,0.0,62099,3211,1304,147570,1937,406
16475,16478,52.383,16809.0,0.0,0.0,-5.0,-19.8,1.0,2439,8436,1564,39099,1467,6968
16081,16084,2.495,25.0,0.0,0.0,-7.0,21.2,0.0,143761,1661,1343,163321,3279,14389
23078,23081,525.9219999999998,113021.0,72.449,5676.0,-6.0,28.2,0.0,95227,9456,2371,125351,6068,13258
22838,22841,638.8100000000002,669154.0,587.234,291997.0,-7.0,26.7,0.0,69747,5442,1771,139010,3483,3890
7767,7768,154.195,64375.0,0.0,0.0,-6.0,18.0,0.0,85559,4005,3613,291531,4962,4267
2210,2210,9.955,382.0,0.0,0.0,-7.0,26.0,0.0,93256,2859,947,179138,1404,678
14542,14544,280.14700000000005,63066.0,3.255,53.0,-7.0,21.8,1.0,65792,4215,558,171755,3601,1397
9526,9528,290.0440000000001,208224.0,0.0,0.0,-4.0,-19.8,0.0,141816,3186,1567,186020,3347,3989
19165,19168,582.087,221590.0,3.279,129.0,-6.0,24.4,0.0,128335,750,1487,159165,4934,4343
19231,19234,279.79799999999994,130083.0,20.106,4157.0,-3.0,-19.8,1.0,42301,6064,474,122533,4876,4481
22869,22872,467.638,130014.0,5.612,78.0,-4.0,-19.8,0.0,72443,6023,1771,28451,1417,236
4391,4392,2.136,49.0,0.0,0.0,-4.0,26.0,0.0,69794,9611,435,123640,3217,6381
15139,15141,17.785000000000004,5575.0,3.512,11.0,-3.0,-19.9,1.0,53098,2458,2679,14822,4461,3267
15600,15603,51.486000000000004,2619.0,0.0,0.0,-6.0,15.0,0.0,69117,4644,573,157183,3466,2646
160,160,692.265,299750.0,256.377,15161.0,-5.0,26.6,1.0,35677,1071,3046,119197,3329,848
17045,17048,1021.345,1065369.0,0.0,0.0,-3.0,-19.8,0.0,66656,1804,303,122988,2040,2709
4952,4953,124.809,71492.0,0.0,0.0,-6.0,29.8,0.0,70785,3717,3801,16900,3657,9178
21236,21239,879.8029999999999,250379.0,5.843,34.0,-5.0,-19.8,1.0,39524,5324,1703,117519,5626,3244
5911,5912,137.506,47384.0,0.0,0.0,-6.0,29.6,1.0,110120,2996,2241,80396,1965,1305
2743,2743,106.679,31453.0,15.683,811.0,-5.0,-19.8,0.0,91227,4923,3166,103305,1389,4169
2001,2001,37.74800000000001,439.0,19.493,709.0,-6.0,29.4,1.0,94433,4948,2887,264071,5683,8648
14547,14549,4.792,36.0,0.0,0.0,-6.0,29.4,0.0,48180,1123,851,127117,950,1907
5637,5638,228.838,94052.0,0.0,0.0,-7.0,26.6,0.0,64920,493,2911,138135,2968,2200
1651,1651,82.961,28318.0,0.0,0.0,-7.0,26.2,1.0,35742,1631,1029,17294,1790,3223
6811,6812,2.102,31.0,0.0,0.0,-6.0,22.0,0.0,86595,7246,4343,12075,5913,11957
3310,3310,0.0,0.0,2.603,34.0,-5.0,16.4,0.0,85829,1995,2000,179517,2015,2662
14067,14069,119.233,96258.0,0.0,0.0,-4.0,28.8,0.0,64121,6386,2780,198507,550,6493
10306,10308,0.0,0.0,2.454,22.0,-6.0,19.0,0.0,85067,2037,4506,208786,2644,7681
20454,20457,1676.6079999999995,1054776.0,0.0,0.0,-3.0,3.5,0.0,95945,4193,2595,109225,3884,9871
991,991,265.37,66883.0,27.595,3682.0,-6.0,25.0,0.0,94205,990,2667,110705,294,1224
843,843,323.244,164871.0,129.33,50553.0,-3.0,-19.7,0.0,2598,2352,524,190356,472,260
854,854,34.58,24686.0,2.325,28.0,-7.0,-19.8,1.0,136343,4952,1194,223570,1242,1766
18597,18600,1424.273,616969.0,37.25100000000001,6732.0,-3.0,-19.8,0.0,46017,2751,1645,135762,433,8171
3399,3399,45.076,15387.0,0.0,0.0,-3.0,27.2,0.0,99980,5176,2429,120467,2158,9762
13555,13557,0.0,0.0,712.7860000000002,351411.0,-7.0,26.4,0.0,109418,7058,3923,113586,2190,3791
3716,3716,418.708,215879.0,0.0,0.0,-5.0,-19.8,0.0,105567,1937,1400,111693,923,3844
14518,14520,1155.312,515538.0,119.18799999999999,18870.0,-5.0,-19.9,0.0,63183,2678,1002,146529,2479,4039
17338,17341,40.967,24228.0,0.0,0.0,-4.0,-19.8,1.0,27496,3639,3921,200214,1793,5404
19682,19685,73.73899999999998,108026.0,0.0,0.0,-3.0,27.8,0.0,63908,114,1825,181480,2021,8794
19223,19226,218.763,96921.0,83.484,41902.0,-6.0,20.8,1.0,95094,3137,3860,183581,5850,1884
8201,8202,31.373,2247.0,0.0,0.0,-6.0,27.2,1.0,3413,5794,4944,242304,4220,200
9664,9666,54.65,11377.0,0.0,0.0,-3.0,-19.8,1.0,147061,42,1205,9262,3337,7104
8798,8800,45.178,35507.0,0.0,0.0,-7.0,14.8,1.0,93225,1777,1509,209712,2031,14825
11740,11742,10.478,169.0,8.997,166.0,-3.0,-19.8,1.0,63411,3709,2399,185512,4624,4575
10621,10623,65.483,35139.0,14.043,536.0,-4.0,-19.8,1.0,28491,4488,1067,233004,2653,4134
17448,17451,95.788,52353.0,2.515,98.0,-7.0,29.2,1.0,39932,2702,3012,117472,2010,2272
4466,4467,2.432,40.0,0.0,0.0,-3.0,27.4,1.0,75656,2227,2003,161215,4115,1197
22740,22743,1466.4330000000002,889601.0,133.386,32520.0,-4.0,26.0,0.0,102564,4636,881,184464,6069,1305
20767,20770,4.227,55.0,0.0,0.0,-8.0,22.4,0.0,28937,6441,2757,126540,2162,7225
1012,1012,2.511,16.0,0.0,0.0,-5.0,-19.8,0.0,81509,1072,2330,169252,4404,1808
14530,14532,5.045,110.0,0.0,0.0,-4.0,-19.8,1.0,51864,257,1585,79993,430,4123
20321,20324,11.168,4800.0,0.0,0.0,-6.0,29.6,0.0,94839,4356,1877,15978,5074,14377
4019,4020,8.764,65.0,2.218,13.0,-7.0,23.8,0.0,134713,3321,1325,116942,706,2450
9828,9830,326.035,70781.0,0.0,0.0,-7.0,-19.8,0.0,37942,3288,2696,9394,1054,2854
8701,8702,1291.868,566759.0,21.628,2912.0,-7.0,24.0,0.0,139957,7602,3957,191550,1044,3266
7628,7629,273.54900000000004,294197.0,4.291,1381.0,-3.0,-19.8,0.0,104676,3011,1647,293010,3917,7387
21232,21235,3401.622000000001,2111059.0,201.773,37767.0,-3.0,29.8,0.0,65550,3427,662,197492,2894,3720
23236,23239,4531.621000000001,2351062.0,37.006,6487.0,-3.0,28.0,0.0,84428,4671,170,102828,453,6461
1182,1182,21.335,13451.0,0.0,0.0,-4.0,24.6,0.0,70938,9539,911,10139,1042,10747
19031,19034,3.3560000000000003,46.0,2.24,56.0,-4.0,1.6,1.0,77357,5421,1240,130791,3126,3599
2524,2524,6.892,110.0,0.0,0.0,-7.0,18.8,0.0,31892,3296,1689,87871,4244,1920
6875,6876,7.165,97.0,0.0,0.0,-8.0,20.3,0.0,44937,5374,924,13173,1309,6800
19015,19018,153.70900000000003,40177.0,0.0,0.0,-7.0,26.2,0.0,94876,9867,1584,89278,3701,2206
5211,5212,3.498,23.0,0.0,0.0,-4.0,-20.0,0.0,98972,921,819,170294,4743,2481
6715,6716,3313.232,4614254.0,2.124,53.0,-5.0,28.0,1.0,48920,4824,1825,283440,4169,10614
11444,11446,71.63,29554.0,0.0,0.0,-7.0,24.6,0.0,80868,1237,1995,196500,2279,12357
3870,3871,333.163,340540.0,134.13,17598.0,-3.0,-19.7,1.0,89924,4632,4106,135,3108,6442
7659,7660,63.097,25947.0,0.0,0.0,-3.0,-19.9,0.0,88062,2593,1566,145868,4956,14396
15411,15414,59.113,13738.0,0.0,0.0,-8.0,22.0,0.0,65414,2523,394,246695,2869,8805
18866,18869,28.343000000000004,33642.0,0.0,0.0,-8.0,13.0,0.0,77011,5007,2493,191308,4560,6403
7139,7140,82.626,30856.0,2.3680000000000003,25.0,-6.0,21.0,0.0,118193,8246,2603,150910,446,332
21483,21486,85.67399999999998,6229.0,8.788,101.0,-3.0,-19.8,0.0,128872,3890,1762,128342,4977,6697
15418,15421,55.167,17321.0,8.322000000000001,454.0,-8.0,19.8,1.0,43884,4958,227,106315,2929,5062
22689,22692,900.347,314012.0,209.248,25658.0,-5.0,-19.8,1.0,91627,7137,2003,122482,5371,8174
16311,16314,0.0,0.0,13.843,774.0,-6.0,1.4,0.0,98896,2369,367,40155,4124,2189
15301,15304,817.0519999999997,683392.0,0.0,0.0,-4.0,-19.8,1.0,15014,5250,1542,94162,4817,9398
4442,4443,26.854,3742.0,0.0,0.0,-7.0,26.2,0.0,123739,1920,1752,223482,669,84
20331,20334,8.64,107.0,2.486,71.0,-3.0,-19.8,1.0,28531,6529,1718,72503,4,400
19954,19957,9.204,187.0,0.0,0.0,-7.0,27.8,0.0,45244,4653,1550,156512,1985,1602
4618,4619,47.467,20371.0,13.349,526.0,-7.0,28.0,0.0,58244,2460,3552,164711,897,14734
8415,8416,112.648,41922.0,0.0,0.0,-4.0,-19.8,1.0,7884,472,2223,241745,4239,13650
5261,5262,8.786,83.0,0.0,0.0,-6.0,29.2,0.0,67226,4949,2645,135735,2750,1559
95,95,79.702,35108.0,5.724,67.0,-8.0,27.4,1.0,40547,4443,26,286991,2420,479
3782,3782,139.987,65976.0,134.648,37163.0,-6.0,25.2,0.0,135225,2351,542,237054,2818,4792
17376,17379,18.215,12050.0,0.0,0.0,-7.0,18.2,0.0,38926,946,1377,131728,2420,1607
7323,7324,633.508,475324.0,0.0,0.0,-5.0,28.0,1.0,107763,5701,146,137899,1261,7551
20828,20831,258.824,130078.0,0.0,0.0,-6.0,15.0,0.0,100953,2521,2894,212516,1136,4692
12397,12399,0.0,0.0,142.935,5715.0,-7.0,24.6,1.0,89640,1731,1267,111184,3623,8624
4087,4088,3.847,78.0,0.0,0.0,-5.0,-19.8,1.0,62077,5128,2232,262883,3680,2686
8555,8556,144.254,107302.0,192.687,25523.0,-7.0,24.8,0.0,73256,5610,2717,138973,2422,4396
15236,15238,998.9350000000003,169726.0,0.0,0.0,-3.0,27.0,0.0,65307,2218,541,154015,1178,4074
3167,3167,56.521,63848.0,96.88,32824.0,-6.0,29.8,0.0,2960,4299,2309,202174,4437,5586
23544,23547,1767.817,751477.0,357.23400000000015,28290.0,-6.0,29.8,0.0,85735,2218,1704,123327,4352,2973
15944,15947,258.379,122523.0,0.0,0.0,-3.0,-19.8,0.0,49412,7289,1731,129601,4638,5709
2574,2574,555.284,253400.0,0.0,0.0,-4.0,25.5,0.0,114858,2722,776,203719,3154,2491
6290,6291,283.343,225549.0,13.707,2900.0,-4.0,-19.8,1.0,33617,5246,379,147782,1630,3626
16282,16285,1089.6619999999998,605963.0,56.797,2098.0,-6.0,27.0,0.0,79801,7802,3525,184844,6641,1376
1347,1347,47.894,14813.0,0.0,0.0,-3.0,29.4,0.0,98986,3588,3911,253392,3494,3772
10419,10421,3697.017,1547166.0,0.0,0.0,-7.0,24.6,0.0,61322,4686,423,208783,3396,3276
10786,10788,8.506,122.0,0.0,0.0,-5.0,-19.8,1.0,70883,5644,1941,26705,649,1995
6633,6634,9.396,1745.0,2.093,36.0,-7.0,22.5,1.0,108156,2942,1181,154367,2916,1332
9769,9771,4306.616,2931713.0,11.649,4341.0,-3.0,-19.8,1.0,455,2289,1376,132934,2008,8648
3761,3761,156.838,93870.0,0.0,0.0,-6.0,20.2,1.0,139604,4726,2576,8625,219,930
13672,13674,563.246,64944.0,33.193000000000005,1089.0,-6.0,21.0,1.0,125734,2840,1479,120955,2152,2018
20256,20259,18.877,6049.0,0.0,0.0,-6.0,29.8,0.0,106222,1287,398,106412,2495,1483
23198,23201,15.526,467.0,19.217,2144.0,-4.0,3.1,0.0,87961,3192,2249,108587,1200,13847
19205,19208,2561.8630000000007,1463244.0,10.035,1329.0,-4.0,-19.8,0.0,15717,2426,2719,155136,3254,772
14935,14937,630.4330000000001,297298.0,14.044,4981.0,-3.0,-19.8,0.0,67653,3835,1229,140420,3572,6627
10804,10806,404.949,294806.0,47.735,8065.0,-7.0,29.0,1.0,86698,5896,3380,204188,3224,11946
18855,18858,83.596,29072.0,0.0,0.0,-3.0,-19.8,0.0,57911,880,2079,47359,4145,8326
20994,20997,0.0,0.0,1129.513,531326.0,-4.0,29.0,0.0,97884,3481,1745,146692,172,5004
13056,13058,644.8779999999998,101220.0,419.2319999999999,57679.0,-6.0,29.8,1.0,52779,4560,1533,107629,2382,4165
2153,2153,58.499,9045.0,0.0,0.0,-5.0,23.0,0.0,127928,2880,295,2775,2222,4337
18213,18216,184.874,76532.0,33.638000000000005,5475.0,-5.0,16.0,1.0,3577,5419,1711,74617,6854,7794
16427,16430,56.036,27010.0,0.0,0.0,-6.0,29.6,0.0,63101,1144,2411,222278,2417,7248
8669,8670,2730.395,563240.0,0.0,0.0,-3.0,29.0,0.0,90821,2917,1333,179645,3732,5125
5916,5917,3.767,227.0,0.0,0.0,-6.0,-19.8,0.0,81692,1521,2394,97933,3759,4351
13596,13598,62.57700000000001,17588.0,0.0,0.0,-9.0,22.4,1.0,17346,5636,1774,160739,730,1423
4869,4870,4.373,88.0,0.0,0.0,-7.0,18.0,0.0,97424,3604,108,110636,3583,3626
11589,11591,12.363,7367.0,0.0,0.0,-6.0,26.2,1.0,79715,912,4601,64064,4202,1996
6801,6802,280.118,209291.0,0.0,0.0,-6.0,22.0,1.0,74874,2129,2117,131006,2311,6974
9599,9601,0.0,0.0,221.676,30975.0,-4.0,2.7,0.0,99974,956,1789,60341,2148,3940
6528,6529,1829.698,1613647.0,44.469,19735.0,-3.0,29.2,1.0,58589,2937,3647,170237,4015,14262
23261,23264,396.08300000000014,102590.0,0.0,0.0,-7.0,25.4,1.0,95934,396,1848,251555,3658,12928
8323,8324,0.0,0.0,10.273,66.0,-8.0,14.0,1.0,53062,645,932,183311,546,5957
15928,15931,2.6630000000000003,77.0,0.0,0.0,-6.0,27.4,0.0,54434,2571,318,205586,89,4450
17317,17320,355.64200000000005,220598.0,9.372,6306.0,-3.0,26.8,0.0,149388,4870,1614,108842,890,5372
13662,13664,267.652,123589.0,11.32,884.0,-6.0,24.2,0.0,84232,1180,3123,172976,19,5271
15852,15855,662.802,206927.0,107.702,10752.0,-7.0,29.0,1.0,66387,1130,1199,7573,2361,6653
2912,2912,0.0,0.0,16.137,4463.0,-9.0,25.5,1.0,12170,3174,2459,148071,3919,4952
20862,20865,20.25,14609.0,0.0,0.0,-3.0,-19.8,0.0,87806,2831,2545,116973,2773,9652
20746,20749,31.887,44514.0,0.0,0.0,-6.0,-20.0,0.0,84043,2571,2558,229854,6574,6059
21487,21490,154.94299999999996,87876.0,0.0,0.0,-5.0,-19.7,0.0,110357,9578,2157,188323,2083,7480
11443,11445,40.515,12531.0,0.0,0.0,-6.0,29.2,0.0,42256,9525,2040,158425,168,13564
173,173,276.559,260618.0,0.0,0.0,-6.0,29.2,1.0,82726,2398,2636,209540,3616,14317
9229,9231,446.483,370659.0,0.0,0.0,-8.0,27.2,0.0,88553,2327,2398,215951,1584,9364
1470,1470,66.683,71891.0,0.0,0.0,-5.0,-19.9,1.0,89824,763,3848,102223,2044,5570
22226,22229,140.355,97206.0,0.0,0.0,-6.0,28.2,1.0,26136,3410,416,214784,3665,9981
7015,7016,1903.596,550927.0,26.204,1373.0,-4.0,-19.8,0.0,1443,8276,3421,177562,3777,10555
15263,15265,59.843,25110.0,2.11,7.0,-4.0,-19.9,1.0,34214,1923,920,17970,3783,5749
9603,9605,10.458,102.0,0.0,0.0,-4.0,-19.8,1.0,112143,5675,2502,106280,1606,7850
10462,10464,4.581,70.0,0.0,0.0,-6.0,29.6,0.0,44768,2568,837,225328,683,2271
749,749,65.12899999999999,33901.0,0.0,0.0,-3.0,-19.8,0.0,87227,4857,3703,166983,2541,2074
17000,17003,615.376,478969.0,4.055,306.0,-6.0,25.4,0.0,91550,2045,4069,200790,126,6576
15254,15256,5.7330000000000005,99.0,0.0,0.0,-7.0,22.4,0.0,36321,4001,1815,118885,4300,9040
20600,20603,259.67499999999995,64613.0,772.5260000000003,85118.0,-4.0,-19.8,1.0,89827,3173,1505,132401,3438,8228
17351,17354,8801.091999999999,4716160.0,0.0,0.0,-6.0,-20.0,0.0,60158,1487,4635,106154,3287,13786
14853,14855,490.881,439960.0,13.884,2607.0,-4.0,29.6,1.0,38188,3053,1932,78623,3608,4578
16046,16049,363.064,177576.0,1645.517,542450.0,-4.0,-19.7,0.0,101556,5906,1528,207148,1033,9620
13391,13393,91.606,22801.0,0.0,0.0,-7.0,25.4,1.0,93728,2190,1304,153002,4000,5361
11448,11450,104.441,70595.0,0.0,0.0,-3.0,18.0,0.0,81598,4850,3499,236335,4097,2479
5011,5012,640.632,218467.0,193.226,14056.0,-3.0,-1.0,0.0,56781,2154,3929,232337,2191,2667
294,294,64.051,35307.0,0.0,0.0,-7.0,-19.9,0.0,125394,2534,1550,244442,1321,3076
4721,4722,10.717,8400.0,0.0,0.0,-7.0,20.6,1.0,95564,2735,1335,234539,4882,2645
8119,8120,1513.9260000000004,845080.0,256.267,46083.0,-6.0,28.0,1.0,89477,806,1911,4868,3142,3487
1399,1399,86.984,3091.0,0.0,0.0,-3.0,15.0,0.0,88819,6594,2621,82977,1963,1951
13837,13839,322.7390000000001,181500.0,129.27200000000002,17526.0,-6.0,21.6,0.0,80228,1532,663,222602,2975,1341
7796,7797,1308.319,852503.0,27.899,6299.0,-6.0,-19.8,0.0,95221,5120,1091,261882,1499,2424
2761,2761,2.0580000000000003,52.0,0.0,0.0,-3.0,29.8,0.0,59718,4705,2551,200028,4276,12113
207,207,30.809,23232.0,0.0,0.0,-5.0,-19.8,0.0,128616,3717,2089,152687,4204,10358
17772,17775,68.545,71904.0,0.0,0.0,-7.0,21.6,0.0,51662,1676,102,158490,2357,7715
4625,4626,7.941,60.0,0.0,0.0,-3.0,-19.8,1.0,74972,5712,538,137107,1533,11129
17674,17677,2.494,56.0,0.0,0.0,-5.0,-19.8,0.0,47339,6489,724,216719,4920,2866
794,794,37.902,8269.0,0.0,0.0,-3.0,-19.9,0.0,67203,1755,79,236620,4512,9657
11327,11329,13.414,6627.0,0.0,0.0,-3.0,-19.8,0.0,143667,4716,2171,233477,2408,5051
16955,16958,113.686,60640.0,0.0,0.0,-4.0,-19.8,0.0,46516,490,3355,78021,4689,1817
372,372,116.662,52034.0,73.21600000000002,5144.0,-4.0,-19.8,0.0,82319,2414,2764,262698,1390,4386
20227,20230,139.92700000000002,59901.0,50.187,18337.0,-6.0,27.0,0.0,91050,4031,399,180576,2213,9488
16382,16385,8.745999999999999,110.0,0.0,0.0,-4.0,-19.8,0.0,31758,949,2980,173523,2504,7050
15515,15518,25.724,6139.0,34.277,3336.0,-3.0,-19.8,0.0,106860,6933,1277,57289,2511,1960
7021,7022,85.87299999999998,65432.0,0.0,0.0,-4.0,-19.8,0.0,107003,3946,1437,128689,693,11620
